Year,unemployment rate,County,Poverty Rate
1993,5.2,VIRGINIA,9.7
1993,7.275,WASHINGTON,12.1
1993,4.375,WISCONSIN,12.6
1994,6.175,Alabama,16.4
1994,7.616666667,Alaska,10.2
1994,6.191666667,Arizona,15.9
1994,5.441666667,Arkansas,15.3
1994,8.65,California,17.9
1994,4.141666667,Colorado,9
1994,5.541666667,Connecticut,10.8
1994,4.7,Delaware,8.3
1994,7.933333333,District of Columbia,21.2
1994,6.475,Florida,14.9
1994,5.066666667,Georgia,14
1994,5.175,Hawaii,8.7
1994,5.8,Illinois,12.4
1994,4.658333333,Indiana,13.7
1994,4.783333333,Kansas,14.9
1994,5.35,Kentucky,18.5
1994,7.65,Louisiana,25.7
1994,5.2,Maryland,10.7
1994,6.2,Massachusetts,9.7
1994,6.1,Michigan,14.1
1994,4,Minnesota,11.7
1994,5.2,Missouri,15.6
1994,2.6,Nebraska,8.8
1994,6.2,Nevada,11.1
1994,6.825,NewJersey,9.2
1994,6.825,NewMexico,21.1
1994,6.825,NewYork,17
1994,6.825,NorthCarolina,14.2
1994,6.825,NorthDakota,10.4
1994,6.825,Ohio,14.1
1994,6.825,Oklahoma,16.7
1994,6.825,Oregon,11.8
1994,6.825,Pennsylvania,12.5
1994,6.825,PuertoRico,
1994,4.808333333,TENNESSE,14.6
1994,6.566666667,TEXAS,19.1
1994,3.741666667,UTAH,8
1994,4.8,VIRGINIA,10.7
1994,6.291666667,WASHINGTON,11.7
1994,4.2,WISCONSIN,9
1995,5.833333333,Alabama,20.1
1995,7.325,Alaska,7.1
1995,5.3,Arizona,16.1
1995,4.866666667,Arkansas,14.9
1995,7.891666667,California,16.7
1995,4.025,Colorado,8.8
1995,5.308333333,Connecticut,9.7
1995,4.266666667,Delaware,10.3
1995,8.608333333,District of Columbia,22.2
1995,5.6,Florida,16.2
1995,4.75,Georgia,12.1
1995,5.525,Hawaii,10.3
1995,5.2,Illinois,12.4
1995,4.433333333,Indiana,9.6
1995,4.358333333,Kansas,10.8
1995,5.4,Kentucky,14.7
1995,6.866666667,Louisiana,19.7
1995,5,Maryland,10.1
1995,5.5,Massachusetts,11
1995,5.3,Michigan,12.2
1995,3.7,Minnesota,9.2
1995,4.8,Missouri,9.4
1995,2.6,Nebraska,9.6
1995,5.6,Nevada,11.1
1995,6.416666667,NewJersey,7.8
1995,6.416666667,NewMexico,25.3
1995,6.416666667,NewYork,16.5
1995,6.416666667,NorthCarolina,12.6
1995,6.416666667,NorthDakota,12
1995,6.416666667,Ohio,11.5
1995,6.416666667,Oklahoma,17.1
1995,6.416666667,Oregon,11.2
1995,6.416666667,Pennsylvania,12.2
1995,6.416666667,PuertoRico,
1995,5.158333333,TENNESSE,15.5
1995,6.116666667,TEXAS,17.4
1995,3.433333333,UTAH,8.4
1995,4.45,VIRGINIA,10.2
1995,6.225,WASHINGTON,12.5
1995,3.716666667,WISCONSIN,8.5
1996,5.208333333,Alabama,14
1996,7.425,Alaska,8.2
1996,5.491666667,Arizona,20.5
1996,5.166666667,Arkansas,17.2
1996,7.35,California,16.9
1996,4.166666667,Colorado,10.6
1996,5.2,Connecticut,11.7
1996,4.95,Delaware,8.6
1996,8.425,District of Columbia,24.1
1996,5.283333333,Florida,14.2
1996,4.591666667,Georgia,14.8
1996,5.916666667,Hawaii,12.1
1996,5.283333333,Illinois,12.1
1996,3.966666667,Indiana,7.5
